epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.52634,1.75742,3.53047,1.73659,0.00232,0.55556,0.00213,0.0007,2.43682,4.45379,2.93869,0.0937,0.0007,0.0007
2,12.3968,1.83197,2.5746,1.71375,0.00222,0.66667,0.00316,0.00095,2.93212,4.66606,3.14464,0.0864909,0.00149086,0.00149086
3,18.9114,2.1731,3.2291,2.08318,0.00222,0.66667,0.01958,0.00539,3.34194,5.11638,3.31374,0.0792443,0.00224428,0.00224428
4,25.5852,2.08494,3.36427,2.10758,0.14485,0.22222,0.05835,0.02373,4.16049,6.54796,7.5672,0.0719327,0.00293275,0.00293275
5,31.9753,2.28992,3.23907,2.15062,0.00159,0.11111,0.00297,0.0017,3.1573,5.58716,5.48826,0.0645313,0.00353131,0.00353131
6,38.5524,2.35704,3.19806,2.24249,0.00214,0.55556,0.00265,0.00051,3.21272,4.52009,5.43463,0.0570186,0.00401858,0.00401858
7,44.871,2.52756,3.01108,2.59152,0.00396,0.11111,0.0044,0.00098,3.11542,72.8241,12.9162,0.0493777,0.00437775,0.00437775
8,50.9416,2.5306,2.77779,2.62375,0.03569,0.22222,0.01771,0.00434,3.20157,27.8478,6.86365,0.0415973,0.00459727,0.00459727
9,57.0457,2.33039,2.6772,2.35255,0.05634,0.44444,0.04137,0.01131,2.95672,1105.58,7.05882,0.0336715,0.00467154,0.00467154
10,63.2175,2.17552,2.8013,2.26326,0.05634,0.44444,0.04137,0.01131,2.95672,1105.58,7.05882,0.0256012,0.00460124,0.00460124
11,69.3286,2.13828,3.07554,2.42136,0.0079,0.33333,0.00985,0.00264,3.10716,715.241,3.72143,0.0173935,0.0043935,0.0043935
12,75.2004,2.23259,2.93076,2.44361,0.0079,0.33333,0.00985,0.00264,3.10716,715.241,3.72143,0.00906187,0.00406187,0.00406187
13,80.9984,2.34438,2.97126,2.44747,0.02059,0.33333,0.01704,0.00358,2.89495,70.1462,3.61924,0.00352037,0.00352037,0.00352037
14,86.7985,1.95268,2.50785,2.23814,0.02059,0.33333,0.01704,0.00358,2.89495,70.1462,3.61924,0.00280275,0.00280275,0.00280275
15,92.5746,2.26119,2.46882,2.42713,0.03081,0.33333,0.0385,0.01486,2.65004,37.2005,2.85712,0.00214046,0.00214046,0.00214046
16,98.3561,2.00369,2.3775,2.19348,0.03081,0.33333,0.0385,0.01486,2.65004,37.2005,2.85712,0.00154982,0.00154982,0.00154982
17,104.1,1.98315,2.51821,2.23552,0.11599,0.22222,0.08768,0.01994,2.59769,24.4877,2.59144,0.00104537,0.00104537,0.00104537
18,109.704,1.89099,2.36631,2.12317,0.11599,0.22222,0.08768,0.01994,2.59769,24.4877,2.59144,0.000639518,0.000639518,0.000639518
19,115.375,1.91798,2.49526,2.23197,0.24855,0.33333,0.13961,0.05091,2.66199,7.97821,2.58464,0.00034227,0.00034227,0.00034227
20,121.029,2.04935,2.51251,2.24686,0.24855,0.33333,0.13961,0.05091,2.66199,7.97821,2.58464,0.000160943,0.000160943,0.000160943
